id,category,question,answer,steps,tokens,seconds,tools_used,auto_pass,notes
1,tool-single,What are my four VLANs and their subnets?,"Your VLAN layout is:

| VLAN | Name   | Subnet           | Purpose                                               |
|------|--------|------------------|-------------------------------------------------------|
| 10   | trusted | 192.168.10.0/24 | laptops, desktop, NAS                                 |
| 20   | iot     | 192.168.20.0/24 | thermostat, cameras, smart plugs                      |
| 30   | guest   | 192.168.30.0/24 | visitors; internet‑only                               |
| 40   | lab     | 192.168.40.0/24 | VMs, test boxes, anything I might break              |

These are listed in your VLAN plan note `2026‑06‑10‑vlan‑plan.md`.",3,3387,29.04,search_notes read_note,True,
2,tool-single,How much did the 2 TB NVMe cost?,The 2 TB NVMe was bought for **$149** on sale【2026-07-02-ssd-purchase.md】.,3,3310,2.74,search_notes read_note,True,
3,tool-single,What was the UPS runtime to 20% battery?,"The UPS ran for **34 minutes** until the battery hit 20 % (the NAS shut down cleanly at 15 %).  
*Source: 2026‑08‑04‑ups‑runtime‑test.md*",3,3098,3.06,search_notes read_note,False,expected fact missing
4,tool-single,Which three files did I restore in the August restore drill?,"The August restore drill involved restoring three specific files:

1. A 2019 photo  
2. A tax PDF from 2023  
3. The home network diagram  

All three were successfully restored and verified with matching checksums【2026-08-11-backup-restore-drill-august.md】.",3,3325,3.7,search_notes read_note,True,
5,tool-single,What did the second exhaust fan do to my GPU temperature?,The second exhaust fan lowered the GPU temperature from 71 °C to 67 °C during a 30‑minute stress test. 2026‑09‑14‑second‑exhaust‑fan.md,3,3223,3.13,search_notes read_note,True,
6,tool-single,Which Pi-hole blocklists am I using?,"You’re using the following blocklists on your Pi‑hole:

- **StevenBlack unified** (base list)  
- **OISD small**  

In addition, you’ve added a short personal allowlist that includes the smart‑TV telemetry domain (which also serves the app store) and the thermostat’s cloud endpoint.  

These lists give you about an 18‑22 % block rate without breaking the TV apps.  

(See 2026‑07‑12‑pihole‑blocklists.md)",3,3214,4.2,search_notes read_note,True,
7,tool-single,What is my log retention for the Pi-hole query log?,Your Pi‑hole query log is kept for **7 days**【2026‑08‑25‑log‑retention‑home.md】.,3,3158,2.72,search_notes read_note,False,expected fact missing
8,tool-single,Where did I decide secrets should go in Power Automate flows?,"You decided that secrets must **never** be placed in the flow definition itself.  
The preferred locations are:

1. **Connection references** – the credential lives in the connection, not the flow.  
2. **Environment variables of type secret** backed by a key‑vault – useful for API keys that the connector can’t store.  

Anything else is a smell. Also remember to enable “secure inputs/outputs” on actions that handle tokens so they don’t appear in plain text in run history. (See *2026‑08‑20‑power‑automate‑secrets.md*.)",3,3266,4.82,search_notes read_note,True,
9,tool-single,What hydration did sourdough attempt 3 use?,Sourdough attempt 3 used **78 % hydration**【2026-06-21-sourdough-attempt-3.md】.,3,2685,2.76,search_notes read_note,True,
10,tool-single,What is the Do-until gotcha I wrote about?,"The “Do‑until” gotcha you wrote about is that in Power Automate a Do‑until loop has **two limits** – a count (default 60) and a timeout (default PT1H). The loop stops when **either** limit is reached, and it does not fail; it simply exits. If the success condition is never met, you silently get 60 iterations that do nothing and the flow reports success.

You suggested the fix: after the loop, add a Condition that checks whether the exit was due to the success condition and terminate as Failed otherwise, and set the count to something meaningful for the job rather than the default 60. 

*Source: `2026-06-25-power-automate-do-until-gotcha.md`*",3,3008,5.06,search_notes read_note,True,
11,tool-multi,What did I say about backups in August?,"In August I performed a restore‑drill on the off‑site Restic repository. I chose a 2019 photo, a 2023 tax PDF, and the home‑network diagram, and all three were successfully restored with matching checksums in **2 min 50 s**. I also verified that the nightly local rsync snapshots for July exist and found the month’s snapshot folder to be 41 GB total (≈6 GB of actual changed data). Finally, I added the GlassBox project folder to the nightly rsync include list. (See `2026‑08‑11‑backup‑restore‑drill‑august.md`)",3,3299,6.05,search_notes read_note,True,
12,tool-multi,How did my desktop thermals change between August and September?,"In the August 15 note I ran a 30‑minute GPU stress test and logged the temperatures:

- **RTX 4070**: peaked at **71 °C** (fan at 68 % duty).  
- **CPU**: reached **82 °C** during the CPU‑bound portions.  
- **NVMe (F:)**: 64 °C during heavy writes.  
The case was front‑to‑back with two intakes and one exhaust, and I ordered a second exhaust fan for a follow‑up test.

There are no notes that record a September measurement, so I don’t have any data on how the thermals changed after that.  

Sources: *2026‑08‑15‑desktop‑thermals.md*",5,7702,8.11,search_notes read_note search_notes read_note,False,expected fact missing
