id,category,question,answer,steps,tokens,seconds,tools_used,auto_pass,notes
1,tool-single,What are my four VLANs and their subnets?,"Your four VLANs and their subnets are:

- **VLAN 10 – trusted**: 192.168.10.0/24  
- **VLAN 20 – IoT**: 192.168.20.0/24  
- **VLAN 30 – guest**: 192.168.30.0/24  
- **VLAN 40 – lab**: 192.168.40.0/24  

*(Source: 2026-06-10-vlan-plan.md)*",3,3749,14.99,search_notes read_note,True,
2,tool-single,How much did the 2 TB NVMe cost?,"The 2 TB NVMe SSD cost **$149** (purchased on sale).  
Source: **2026-07-02-ssd-purchase.md** line “Paid $149 on sale.”",3,3767,1.77,search_notes read_note,True,
3,tool-single,What was the UPS runtime to 20% battery?,The UPS runtime to 20% battery was **34 minutes**. (Source: 2026-08-04-ups-runtime-test.md),3,3502,1.38,search_notes read_note,True,
4,tool-single,Which three files did I restore in the August restore drill?,"The August restore drill restored the following three files:

1. a 2019 photo  
2. a tax PDF from 2023  
3. the home network diagram  

(Referenced in **2026-08-11-backup-restore-drill-august.md**).",3,3727,1.87,search_notes read_note,True,
5,tool-single,What did the second exhaust fan do to my GPU temperature?,"The second exhaust fan lowered the GPU temperature by **4 °C**, reducing it from **71 °C** to **67 °C** during the same 30‑minute stress test. (Source: 2026-09-14-second-exhaust-fan.md)",3,3638,1.84,search_notes read_note,True,
6,tool-single,Which Pi-hole blocklists am I using?,"You are using the following Pi‑hole blocklists (as recorded in **2026-07-12-pihole-blocklists.md**):

1. **StevenBlack unified (base)** – a comprehensive, community‑maintained blocklist.  
2. **OISD small** – a smaller, curated blocklist from the Open Information Security Foundation.  
3. **Personal allowlist** – a short custom allowlist that explicitly permits the smart‑TV telemetry domain and the thermostat’s cloud endpoint, preventing the TV app store from breaking.

These lists together block roughly 18‑22 % of DNS queries while keeping your TV apps functional.  

**Source:** 2026-07-12-pihole-blocklists.md.",3,3670,3.15,search_notes read_note,True,
7,tool-single,What is my log retention for the Pi-hole query log?,"Your Pi-hole query log is retained for **7 days**.  

*Citation:* 2026-08-25-log-retention-home.md (line 12) – “Pi-hole query log: 7 days.”",3,3594,1.61,search_notes read_note,True,
8,tool-single,Where did I decide secrets should go in Power Automate flows?,"You decided that secrets should **never be placed directly in the flow definition**. In the note **“Where secrets go in flows”** (2026‑08‑20‑power‑automate‑secrets.md), the options are ranked as follows:

1. **Connection references** – the credential lives in the connection, not the flow (the recommended default).  
2. **Environment variables of type secret backed by a key vault** – suitable for API keys the connector cannot hold.  
3. Anything else is considered a problem.

Additionally, the note advises enabling “secure inputs/outputs” on actions that handle tokens to prevent them from appearing in plain text in the run history.

**Source:** 2026-08-20-power-automate-secrets.md.",3,3659,3.22,search_notes read_note,True,
9,tool-single,What hydration did sourdough attempt 3 use?,"Sourdough attempt 3 used **78 % hydration**.  

*Cited note:* 2026-06-21-sourdough-attempt-3.md (line 9).",3,3099,1.61,search_notes read_note,True,
10,tool-single,What is the Do-until gotcha I wrote about?,"The “Do‑until gotcha” I wrote about is that **Power Automate’s Do‑until loop has two hidden limits—a maximum iteration count (default 60) and a maximum timeout (default 1 hour).** The loop stops when **either** limit is reached, and it does **not** fail; it simply exits silently. If the success condition never occurs, the flow will run up to 60 iterations (or the timeout) and then report success even though the intended work wasn’t completed.

**Key points from the note (2026-06-25-power-automate-do-until-gotcha.md):**
- Do‑until stops when **either** the iteration count or the timeout expires.
- Without a post‑loop check, a loop that never meets its success condition can silently finish after 60 iterations (or the timeout) and be treated as successful.
- **Fix:** After the Do‑until, add a Condition that verifies whether the loop exited because the success condition was met; if not, terminate the flow as Failed. Also set the iteration count to a value appropriate for the task rather than the default 60.

This is analogous to a step‑cap in an agent loop—same failure mode, same remediation.",3,3548,4.6,search_notes read_note,True,
