id,category,question,answer,steps,tokens,seconds,tools_used,auto_pass,notes
1,tool-single,What are my four VLANs and their subnets?,"Your four VLANs and their subnets:

| VLAN | Name | Subnet | Purpose |
|------|------|--------|---------|
| 10 | trusted | 192.168.10.0/24 | laptops, desktop, NAS |
| 20 | iot | 192.168.20.0/24 | thermostat, cameras, smart plugs |
| 30 | guest | 192.168.30.0/24 | visitors; internet only |
| 40 | lab | 192.168.40.0/24 | VMs, test boxes, anything I might break |

Source: `2026-06-10-vlan-plan.md`",3,4610,9.02,search_notes read_note,True,
2,tool-single,How much did the 2 TB NVMe cost?,"The 2 TB NVMe cost **$149** (on sale). It's the same model line as your existing 1 TB, PCIe 4.0.

Source: `2026-07-02-ssd-purchase.md`",3,4521,2.73,search_notes read_note,True,
3,tool-single,What was the UPS runtime to 20% battery?,"The UPS runtime to 20% battery was **34 minutes**.

This was measured during a runtime test on 2026-08-04, where the NAS shut down cleanly via the USB signal at 15%. (Source: `2026-08-04-ups-runtime-test.md`)",3,5033,3.28,search_notes search_notes read_note,True,
4,tool-single,Which three files did I restore in the August restore drill?,"In the August restore drill, you picked and restored these three files:

1. **A 2019 photo**
2. **A tax PDF from 2023**
3. **The home network diagram**

All three restored successfully with matching checksums (took 2 min 50 sec including repository unlock). Source: `2026-08-11-backup-restore-drill-august.md`.",3,4381,3.32,search_notes read_note,True,
5,tool-single,What did the second exhaust fan do to my GPU temperature?,"The second exhaust fan (installed top rear on 2026-09-14) lowered your GPU temperature from **71 °C to 67 °C** — a **4 °C drop** under the same 30-minute stress test.

Source: `2026-09-14-second-exhaust-fan.md` (compared against the baseline in `2026-08-15-desktop-thermals.md`, where the GPU peaked at 71 °C).",3,5662,4.62,search_notes search_notes read_note read_note,True,
6,tool-single,Which Pi-hole blocklists am I using?,"You're using this blocklist set (from `2026-07-12-pihole-blocklists.md`):

- **StevenBlack unified** (base)
- **OISD small**
- A short **personal allowlist**: the smart-TV telemetry domain (which also serves the app store) and the thermostat's cloud endpoint.

This set blocks roughly **18–22%** of queries without breaking your TV apps.",3,4332,3.16,search_notes read_note,True,
7,tool-single,What is my log retention for the Pi-hole query log?,"Your Pi-hole query log retention is **7 days**.

This is from your note `2026-08-25-log-retention-home.md`, which states: *""Pi-hole query log: 7 days. Longer is creepy and not useful.""*

The rationale in your notes is that anything identifying a person (like the query log) gets the shortest retention.",2,3038,2.48,search_notes search_notes,True,
8,tool-single,Where did I decide secrets should go in Power Automate flows?,"You decided this in **`2026-08-20-power-automate-secrets.md`** (titled ""Where secrets go in flows"").

Your decision: **Never in the flow definition.** The three options, ranked:

1. **Connection references** — the credential lives in the connection, not the flow. Your ""best default.""
2. **Environment variables of type secret** backed by a key vault — good for API keys the connector cannot hold.
3. **Anything else is a smell.**

You also noted: turn on **""secure inputs/outputs""** on actions that touch tokens, otherwise they show up in run history in plain text for anyone with view access.",3,5354,4.53,search_notes search_notes read_note,True,
9,tool-single,What hydration did sourdough attempt 3 use?,"Sourdough attempt 3 used **78% hydration** (down from 82% in attempt 2).

Source: `2026-06-21-sourdough-attempt-3.md`",3,4164,2.97,search_notes search_notes read_note,True,
10,tool-single,What is the Do-until gotcha I wrote about?,"Your **Do-until gotcha** is about **Power Automate** (written 2026-06-25, in `2026-06-25-power-automate-do-until-gotcha.md`).

The gotcha: a Do-until loop has **two** limits — a **count** (default 60) and a **timeout** (default 1 hour). The loop stops when *either* is hit, and it **doesn't fail** — it just exits. So if your success condition is never met, you silently get 60 iterations of nothing and the flow still reports **success**.

The fix you noted:
- After the loop, add a **Condition** that checks whether the exit was due to the success condition; otherwise **Terminate as Failed**.
- Set the count to something meaningful for the job, not the default 60.

You also drew an analogy to the **step cap in an agent loop** — same failure mode, same fix.",3,4185,4.96,search_notes read_note,True,
