id,category,question,answer,steps,tokens,seconds,tools_used,auto_pass,notes
1,tool-single,What are my four VLANs and their subnets?,"Your four VLANs and their subnets are:

*   **VLAN 10 (trusted):** 192.168.10.0/24
*   **VLAN 20 (iot):** 192.168.20.0/24
*   **VLAN 30 (guest):** 192.168.30.0/24
*   **VLAN 40 (lab):** 192.168.40.0/24

(Source: 2026-06-10-vlan-plan.md)",3,3837,23.94,search_notes read_note,True,
2,tool-single,How much did the 2 TB NVMe cost?,"The 2 TB NVMe cost $149 on sale.

Source: 2026-07-02-ssd-purchase.md",3,3642,3.43,search_notes read_note,True,
3,tool-single,What was the UPS runtime to 20% battery?,"The UPS runtime to 20% battery was 34 minutes.

Source: 2026-08-04-ups-runtime-test.md",3,3224,3.37,search_notes read_note,True,
4,tool-single,Which three files did I restore in the August restore drill?,"You restored the following three files during the August restore drill:
1. A 2019 photo
2. A tax PDF from 2023
3. The home network diagram

(Source: 2026-08-11-backup-restore-drill-august.md)",3,3590,3.72,search_notes read_note,True,
5,tool-single,What did the second exhaust fan do to my GPU temperature?,"The second exhaust fan reduced the GPU temperature from 71°C to 67°C during a 30-minute stress test.

(Source: 2026-09-14-second-exhaust-fan.md)",3,3619,3.77,search_notes read_note,True,
6,tool-single,Which Pi-hole blocklists am I using?,"You are using the following Pi-hole blocklists:

*   StevenBlack unified (base)
*   OISD small
*   A short personal allowlist (specifically for the smart-TV telemetry domain and the thermostat's cloud endpoint)

(Source: 2026-07-12-pihole-blocklists.md)",3,3610,4.51,search_notes read_note,True,
7,tool-single,What is my log retention for the Pi-hole query log?,"Your Pi-hole query log retention is 7 days.

Source: 2026-08-25-log-retention-home.md",3,3599,3.52,search_notes read_note,True,
8,tool-single,Where did I decide secrets should go in Power Automate flows?,"You decided that secrets should never be in the flow definition. You ranked the following options:

1. **Connection references**: The credential lives in the connection, not the flow (best default).
2. **Environment variables**: Specifically of type ""secret"" backed by a key vault (for API keys the connector cannot hold).

Additionally, you noted that ""secure inputs/outputs"" should be turned on for actions handling tokens to prevent them from appearing in plain text in the run history.

Source: 2026-08-20-power-automate-secrets.md",3,3587,5.07,search_notes read_note,True,
9,tool-single,What hydration did sourdough attempt 3 use?,"Sourdough attempt 3 used 78% hydration.

Source: 2026-06-21-sourdough-attempt-3.md",2,1785,2.59,search_notes,True,
10,tool-single,What is the Do-until gotcha I wrote about?,"The ""Do-until"" gotcha you wrote about is that it has two limits—a count (default 60) and a timeout (default PT1H)—and the loop stops when **either** is hit. Crucially, it does not fail when a limit is hit; it simply exits, which can lead to a flow reporting success even if the condition was never met.

To fix this, you noted that you should add a Condition after the loop to check if the exit was due to the success condition and Terminate as Failed if not. You also recommended setting the count to a meaningful number rather than the default 60.

Source: 2026-06-25-power-automate-do-until-gotcha.md",3,3306,5.53,search_notes read_note,True,
11,tool-multi,What did I say about backups in August?,"In August, you performed a restore drill from the offsite restic repository. You successfully restored a 2019 photo, a 2023 tax PDF, and the home network diagram, all of which had matching checksums. The process took 2 minutes and 50 seconds.

Additionally, you verified that the nightly local rsync snapshots for July were present (totaling 41 GB) and added the ""glassbox project"" folder to the nightly rsync include list.

Source: 2026-08-11-backup-restore-drill-august.md",3,3693,4.91,search_notes read_note,True,
12,tool-multi,How did my desktop thermals change between August and September?,"After installing a second exhaust fan in September, your desktop thermals improved across all components compared to the August measurements:

*   **GPU:** Dropped from 71°C to 67°C.
*   **CPU:** Dropped from 82°C to 76°C.
*   **NVMe (F:):** Dropped from 64°C to 59°C.

(Sources: `2026-08-15-desktop-thermals.md`, `2026-09-14-second-exhaust-fan.md`)",5,8534,7.35,search_notes search_notes read_note read_note,True,
13,tool-multi,What were my July focus items and did I finish them?,"Your July focus items were:
1.  **Install the 2 TB NVMe**: Completed (installed as F:).
2.  **Wireguard**: Completed (working from the phone).
3.  **Start reading about agents seriously**: Not explicitly marked as ""done"" or ""not done"" in the July review, but you noted a learning that ""reading run history as a trace changed how I debug flows"" and expressed a desire for a similar view for an agent.

(Sources: 2026-06-30-monthly-review-june.md, 2026-07-31-monthly-review-july.md)",4,5069,7.11,search_notes read_note read_note,True,
14,no-tool,What is 17 times 23?,17 times 23 is 391.,1,778,1.15,,True,
15,no-tool,Explain what a mixture-of-experts model is in two sentences.,"A mixture-of-experts (MoE) is a machine learning architecture where a large model is divided into multiple specialized sub-networks, called ""experts."" During inference, a gating network routes each input to only a few of these experts, allowing the model to have a massive total parameter count while only activating a small fraction of them for any given calculation.",1,842,1.83,,True,
16,no-tool,Write a haiku about a GPU.,"Silicon heart beats fast,
Rendering worlds in light and frame,
Power flows in heat.",1,783,0.74,,True,
17,nothing,What did I write about my kitchen renovation?,"I'm sorry, but I couldn't find any notes regarding a kitchen renovation.",4,3373,2.61,search_notes search_notes search_notes,True,
18,nothing,When did I replace the roof?,"I'm sorry, but I couldn't find any notes regarding a roof replacement.",4,3358,2.72,search_notes search_notes search_notes,True,
19,decoy,What did I write about VLANs and the sandwich?,"You wrote that you named the sandwich ""VLAN"" because everything is separated into layers and nothing touches. The sandwich consists of veal, lettuce, aioli, and naan (which should be toasted first). The aioli is made of garlic, lemon, egg yolk, and oil. You also noted that it has nothing to do with networking.

Source: 2026-08-06-vlan-recipe.md",3,3599,4.05,search_notes read_note,True,
